"","X","Year","Age","Name","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price"
"1",0,2014,10,"Maruti Alto K10 LXI CNG","Delhi",40929,"CNG","Manual","First",32.26,998,58.2,4,6.04983002036096
"2",1,2013,11,"Maruti Alto 800 2016-2019 LXI","Coimbatore",54493,"Petrol","Manual","Second",24.7,796,47.3,5,4.0546848170494
"3",2,2017,7,"Toyota Innova Crysta Touring Sport 2.4 MT","Mumbai",34000,"Diesel","Manual","First",13.68,2393,147.8,7,25.27
"4",3,2012,12,"Toyota Etios Liva GD","Hyderabad",139000,"Diesel","Manual","First",23.59,1364,80.2867336093351,5,9.9357064219151
"5",4,2014,10,"Hyundai i20 Magna","Mumbai",29000,"Petrol","Manual","First",18.5,1197,82.85,5,7.10330273579803
"6",5,2016,8,"Mahindra XUV500 W8 2WD","Coimbatore",85609,"Diesel","Manual","Second",16,2179,140,7,24.8596939506809
"7",6,2015,9,"Toyota Fortuner 4x2 AT TRD Sportivo","Pune",59000,"Diesel","Automatic","First",12.55,2982,168.7,7,29.8402977015385
"8",7,2013,11,"Hyundai EON Era Plus","Jaipur",65000,"Petrol","Manual","First",21.1,814,55.2,5,4.39306610358786
"9",8,2011,13,"Honda City 1.5 S MT","Mumbai",66000,"Petrol","Manual","Second",17,1497,118,5,13.4774466330162
"10",9,2015,9,"Mahindra XUV500 W6 2WD","Coimbatore",54684,"Diesel","Manual","First",15.1,2179,140,7,23.722216492876
"11",10,2012,12,"Audi Q5 2008-2012 2.0 TDI","Mumbai",78000,"Diesel","Automatic","Second",12.8,1968,167.6,5,50.1727956898785
"12",11,2016,8,"Hyundai Grand i10 Magna","Jaipur",21000,"Petrol","Manual","First",18.9,1197,82,5,7.03337931725984
"13",12,2007,17,"Toyota Corolla H5","Chennai",90000,"Petrol","Manual","Third",13.4,1794,125,5,18.1640132700822
"14",13,2008,16,"Maruti Swift Vdi BSIII","Coimbatore",87628,"Diesel","Manual","First",17.8,1248,75,5,9.99410631353384
"15",14,2014,10,"Nissan Terrano XL","Mumbai",45000,"Petrol","Manual","First",13.24,1598,102.5,5,12.1442223120424
"16",15,2013,11,"BMW X1 sDrive20d","Coimbatore",30788,"Diesel","Automatic","First",17.05,1995,184,5,52.6394737143344
"17",16,2015,9,"BMW 3 Series GT 320d Luxury Line","Hyderabad",39524,"Diesel","Automatic","First",19.59,1995,184,5,53.8870963052024
"18",17,2009,15,"Ford Ikon 1.4 TDCi DuraTorq","Chennai",140000,"Diesel","Manual","First",13.8,1399,68,5,9.78259268812141
"19",18,2019,5,"Maruti Swift AMT ZXI","Kochi",15409,"Petrol","Automatic","First",22,1197,81.8,5,8.00906742019949
"20",19,2015,9,"Maruti Swift Dzire VXi","Jaipur",36502,"Petrol","Manual","First",17.5,1298,85.8,5,7.0633931804091
"21",20,2016,8,"Maruti Ritz LDi","Pune",200000,"Diesel","Manual","First",23.2,1248,73.94,5,8.82898728701212
"22",21,2010,14,"Nissan Micra XV","Delhi",70000,"Petrol","Manual","First",18.06,1198,75,5,7.12267708296053
"23",22,2017,7,"Maruti Alto 800 2016-2019 LXI","Kochi",36701,"Petrol","Manual","First",24.7,796,47.3,5,4.14125296514436
"24",24,2011,13,"Honda Civic 2010-2013 1.8 S MT Inspire","Bangalore",40000,"Petrol","Manual","Second",15.5,1799,132,5,16.8124474694702
"25",25,2005,19,"Ford Ikon 1.3 Flair","Pune",47000,"Petrol","Manual","Second",13.8,1299,70,5,6.85383394138112
"26",26,2006,18,"Maruti Alto LX","Pune",93500,"Petrol","Manual","Second",19.7,796,46.3,5,4.47613694006077
"27",27,2015,9,"Honda Jazz 1.5 V i DTEC","Pune",52000,"Diesel","Manual","First",27.3,1498,98.6,5,12.7518131169468
"28",28,2015,9,"Skoda Rapid 1.5 TDI AT Ambition","Delhi",55429,"Diesel","Automatic","Second",21.66,1498,103.52,5,32.1103000514949
"29",29,2011,13,"Hyundai i20 1.2 Sportz","Mumbai",133000,"Petrol","Manual","Second",17,1197,80,5,6.95504541984792
"30",30,2014,10,"Toyota Etios Cross 1.4L VD","Chennai",70000,"Diesel","Manual","Second",23.59,1364,67.06,5,9.27
"31",31,2014,10,"Volkswagen Polo GT TDI","Pune",68000,"Diesel","Manual","First",15.11,1598,103.6,5,14.0880891863872
"32",32,2010,14,"Hyundai i10 Era 1.1 iTech SE","Pune",71000,"Petrol","Manual","Second",19.81,1086,68.05,5,6.25367689901402
"33",33,2012,12,"Mitsubishi Pajero 2.8 SFX","Chennai",121000,"Diesel","Manual","First",10.5,2835,107.2,6,23.6360150541079
"34",34,2015,9,"Maruti Swift Dzire Tour LDI","Kolkata",107000,"Diesel","Manual","First",23.4,1248,74,5,9.05257486994714
"35",35,2015,9,"Maruti Swift Dzire VXI","Chennai",51000,"Petrol","Manual","First",19.1,1197,85.8,5,7.17745216296138
"36",36,2017,7,"Skoda Rapid 1.6 MPI AT Style","Mumbai",13500,"Petrol","Automatic","First",14.84,1598,103.52,5,14.95
"37",37,2016,8,"Hyundai Creta 1.6 SX Plus Dual Tone Petrol","Bangalore",13000,"Petrol","Manual","First",15.29,1591,121.3,5,14.1453249211912
"38",38,2010,14,"Toyota Innova 2.5 G (Diesel) 7 Seater BS IV","Pune",81000,"Diesel","Manual","First",12.8,2494,102,8,17.911750712107
"39",39,2012,12,"BMW 5 Series 520d Luxury Line","Mumbai",66889,"Diesel","Automatic","First",22.48,1995,190,5,70.43
"40",40,2018,6,"Maruti Baleno Alpha 1.3","Ahmedabad",32000,"Diesel","Manual","First",27.39,1248,74,5,8.944884681174
"41",41,2013,11,"Audi A4 2.0 TDI 177 Bhp Technology Edition","Pune",87001,"Diesel","Automatic","First",17.11,1968,174.33,5,52.2083242005752
"42",42,2013,11,"Audi A4 2.0 TDI Multitronic","Hyderabad",55000,"Diesel","Automatic","Second",16.55,1968,140,5,47.6573173679481
"43",43,2018,6,"Skoda Rapid 1.6 MPI Ambition","Jaipur",4000,"Petrol","Manual","First",15.41,1598,103.52,5,11.89
"44",44,2017,7,"Maruti Ertiga SHVS VDI","Kochi",27778,"Diesel","Manual","First",24.52,1248,88.5,7,10.2813835900279
"45",45,2017,7,"Maruti Ciaz 1.4 Zeta","Mumbai",5000,"Petrol","Manual","First",20.73,1373,91.1,5,9.23582262356192
"46",46,2014,10,"Maruti Ciaz ZXi","Pune",72000,"Petrol","Manual","First",20.73,1373,91.1,5,8.17688947375611
"47",47,2015,9,"Mercedes-Benz A Class A200 CDI Sport","Chennai",21000,"Diesel","Automatic","First",20,2143,136,5,52.9242677737944
"48",48,2015,9,"Toyota Innova 2.5 ZX Diesel 7 Seater","Kochi",59299,"Diesel","Manual","First",12.99,2494,100.6,7,20.851143231588
"49",49,2014,10,"BMW 3 Series 320d Prestige","Ahmedabad",75000,"Diesel","Automatic","First",18.88,1995,184,5,54.7097116502301
"50",50,2019,5,"Maruti Alto 800 2016-2019 LXI","Kochi",3413,"Petrol","Manual","First",24.7,796,47.3,5,4.12001381459243
"51",51,2014,10,"Ford Ecosport 1.5 DV5 MT Titanium","Mumbai",62000,"Diesel","Manual","First",22.7,1498,89.84,5,10.4210911879809
"52",52,2010,14,"Ford Endeavour 3.0L 4X4 AT","Mumbai",105001,"Diesel","Automatic","First",11.4,2953,153.86,7,35.4457823418815
