"","Age","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand"
"1",14,"Mumbai",72000,"CNG","Manual","First",26.6,998,58.16,5,1.75,"Maruti"
"3",13,"Chennai",46000,"Petrol","Manual","First",18.2,1199,88.7,5,4.5,"Honda"
"6",12,"Hyderabad",75000,"LPG","Manual","First",21.1,814,55.2,5,2.35,"Hyundai"
"7",11,"Jaipur",86999,"Diesel","Manual","First",23.08,1461,63.1,5,3.5,"Nissan"
"9",11,"Pune",64430,"Diesel","Manual","First",20.54,1598,103.6,5,5.2,"Volkswagen"
"10",12,"Chennai",65932,"Diesel","Manual","Second",22.3,1248,74,5,1.95,"Tata"
"12",12,"Kolkata",60000,"Petrol","Automatic","First",16.8,1497,116.3,5,4.49,"Honda"
"13",9,"Jaipur",64424,"Diesel","Manual","First",25.2,1248,74,5,5.6,"Maruti"
"14",10,"Delhi",72000,"Diesel","Automatic","First",12.7,2179,187.7,5,27,"Land"
"15",12,"Pune",85000,"Diesel","Automatic","Second",0,2179,115,5,17.5,"Land"
"17",8,"Kochi",58950,"Diesel","Manual","First",25.8,1498,98.6,5,5.4,"Honda"
"18",7,"Jaipur",25000,"Diesel","Manual","First",28.4,1248,74,5,5.99,"Maruti"
"19",10,"Kochi",77469,"Diesel","Manual","First",20.45,1461,83.8,5,6.34,"Renault"
"22",9,"Bangalore",55392,"Diesel","Manual","Second",23.65,1248,88.5,5,8.25,"Maruti"
"23",9,"Mumbai",55985,"Petrol","Automatic","First",13.53,1984,177.01,5,23.5,"Audi"
"25",14,"Kolkata",33000,"Petrol","Automatic","First",14.4,1598,103.6,5,2.85,"Volkswagen"
"26",12,"Mumbai",51920,"Petrol","Manual","First",16.8,1497,116.3,5,4.25,"Honda"
"27",12,"Hyderabad",54000,"Diesel","Manual","First",23.08,1461,63.1,5,4.25,"Nissan"
"28",11,"Hyderabad",54000,"Petrol","Manual","Second",20.92,998,67.1,5,2.75,"Maruti"
"29",6,"Kochi",37430,"Petrol","Manual","First",17.5,1199,88.7,5,9.9,"Honda"
"30",17,"Mumbai",262000,"Diesel","Manual","Fourth & Above",12.8,2494,102,7,4,"Toyota"
"33",11,"Bangalore",72000,"Diesel","Automatic","Second",11.18,2696,184,7,12.5,"Mahindra"
"35",10,"Coimbatore",55431,"Petrol","Manual","Second",16.09,1598,103.5,5,6.98,"Volkswagen"
"36",15,"Jaipur",83816,"Petrol","Manual","Second",14,1061,64,5,1.85,"Maruti"
"38",7,"Delhi",52000,"Petrol","Manual","First",18.15,1198,82,5,4.85,"Mahindra"
"39",11,"Pune",85000,"Diesel","Automatic","First",11.74,2987,254.8,5,28,"Mercedes-Benz"
"40",11,"Chennai",62000,"Diesel","Manual","First",22.07,1199,73.9,5,5,"Volkswagen"
"41",16,"Delhi",90000,"Petrol","Manual","Second",19.7,796,46.3,5,1.25,"Maruti"
"42",10,"Kochi",19698,"Petrol","Manual","First",25.4,624,37.5,4,1.53,"Tata"
"43",7,"Coimbatore",22033,"Diesel","Manual","First",25.32,1198,77,6,5.58,"Mahindra"
"44",10,"Kochi",35487,"Petrol","Manual","First",18.5,1197,82.9,5,4.74,"Hyundai"
"45",10,"Bangalore",46374,"Petrol","Automatic","First",14.62,1999,149.92,5,8.85,"Hyundai"
"46",8,"Mumbai",52001,"Petrol","Automatic","First",14.28,1798,138.03,5,10.11,"Toyota"
"47",16,"Ahmedabad",58005,"Diesel","Manual","Second",14.9,1991,112.2,5,4.25,"Hyundai"
"48",12,"Bangalore",70704,"Petrol","Manual","First",11.25,2694,163.7,7,10.95,"Toyota"
"49",10,"Jaipur",75000,"Diesel","Manual","First",24.4,1120,71,5,3.85,"Hyundai"
"51",9,"Kochi",13648,"Diesel","Automatic","First",17.11,1968,174.33,5,21.43,"Audi"
"52",10,"Delhi",52000,"Diesel","Manual","First",22.9,1248,74,5,4.25,"Maruti"
"54",11,"Delhi",65650,"Diesel","Manual","First",28.4,1248,74,5,3.85,"Maruti"
"55",9,"Chennai",54000,"Petrol","Manual","Third",18.9,1197,82,5,3.6,"Hyundai"
"56",9,"Kolkata",39000,"Petrol","Manual","First",15.04,1598,103.2,5,3.99,"Volkswagen"
"57",7,"Kochi",16542,"Petrol","Manual","First",25.17,799,53.3,5,3.3,"Renault"
"60",14,"Hyderabad",39300,"Petrol","Manual","First",18.2,998,67.1,5,2.25,"Maruti"
"61",7,"Mumbai",22000,"Diesel","Manual","First",13.68,2393,147.8,8,16.5,"Toyota"
"62",14,"Bangalore",72000,"Diesel","Manual","First",20,1399,68,5,2.75,"Ford"
"63",9,"Delhi",58000,"Petrol","Automatic","First",11.74,1796,186,5,26.7,"Mercedes-Benz"
"64",13,"Pune",65000,"Diesel","Manual","Second",15.8,2148,170,5,10,"Mercedes-Benz"
"66",12,"Jaipur",65664,"Diesel","Automatic","First",16.55,1968,140,5,13.5,"Audi"
"70",6,"Mumbai",13000,"Diesel","Manual","First",22.1,1396,88.7,5,10.5,"Hyundai"
"72",9,"Mumbai",55729,"Diesel","Manual","First",15.1,2179,140,7,9.65,"Mahindra"
"73",12,"Kochi",45178,"Petrol","Automatic","First",16.95,1197,78.9,5,3.48,"Hyundai"
"74",9,"Kochi",56066,"Diesel","Manual","First",19.64,1461,108.5,5,6.92,"Nissan"
"75",8,"Coimbatore",37300,"Petrol","Automatic","Second",16.5,1198,86.8,5,6.46,"Honda"
"76",10,"Delhi",56000,"Diesel","Automatic","Second",18.53,1968,187.74,5,29.5,"Audi"
"77",16,"Jaipur",111111,"Diesel","Manual","First",17.8,1399,85.34996263,5,2,"Ford"
"78",18,"Chennai",230000,"Petrol","Manual","Third",12.4,1998,132,8,4.5,"Toyota"
"79",12,"Hyderabad",104000,"Diesel","Manual","First",12.8,2494,102,7,11.75,"Toyota"
"80",19,"Hyderabad",87591,"Petrol","Manual","First",0,1086,79.59134948,5,1.3,"Hyundai"
